idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
36,Ana Gabriela del Hierro Calvachi,Researcher,Instituto Nacional de Biodiversidad - INABIO,Under 30,Female,Non-Profit,Government,Quito ,Ecuador,South America,https://www.linkedin.com/in/adelhierrocalvachi/?originalSubdomain=ec,-0.180653,-78.467838
37,Anders Langworth,Founder,Bankers for Climate,Over 30,Male,Non-Profit,NGO,Stockholm,Sweden,Europe,https://www.linkedin.com/in/anders-langworth-725422a/,59.329324,18.068581
38,Anders Wijkman,Co-President,Club of Rome,Over 30,Male,Non-Profit,NGO,Stockholm,Sweden,Europe,https://www.linkedin.com/in/anders-wijkman-1456058/,59.329324,18.068581
39,Andrea Meza Murillo,Minister of Environment and Energy ,Government of Costa Rica,Over 30,Female,Non-Profit,Government,San Jose,Costa Rica,North America,https://www.unccd.int/sites/default/files/inline-files/Brief%20Biographical%20Note%20-%20Minister%20Andrea%20Meza%20Murrillo.pdf,37.338208,-121.886329
40,Andreas Feicht,State Secretary,German Federal Ministry for Economic Affairs and Energy,Over 30,Male,Non-Profit,Government,Berlin,Germany,Europe,https://www.bmwi.de/Redaktion/EN/Artikel/Curriculum-Vitae/curriculum-vitae-feicht.html https://www.bmwi.de/Redaktion/DE/Parlamentarische-Anfragen/2019/1-559.pdf?__blob=publicationFile&v=6,52.520007,13.404954
41,Andreas Merkl,President,Ocean Conservancy,Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/andreas-merkl-75449377/ ,38.907192,-77.036871
42,Andrew Lever,Director of Policy and Innovation,Carbon Trust,Over 30,Male,Non-Profit,NGO,Edinburgh,United Kingdom,Europe,https://www.linkedin.com/in/andrew-lever-1a551a/,55.953252,-3.188267
43,Andrew Morlet,CEO,Ellen MacArthur Foundation,Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/amorlet/,51.507218,-0.127586
44,Andrew Sharpless,Chief Executive Officer,Oceana,Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,"https://oceana.org/about-oceana/people-partners/executive-committee/andrew-sharpless
https://www.linkedin.com/in/andrew-sharpless-8844a4b/",38.907192,-77.036871
45,Andrew Smith,"Sr. Manager, Global Energy Management and Sustainability",Cisco,Over 30,Male,For-Profit,General,"Boulder, CO",USA,North America,https://www.linkedin.com/in/andrew-smith-94ba585/,40.014986,-105.270546
46,Andrew Watterson,President and Founder; Former Head of Sustainability,Blue CSR Strategies; KeyBank,Over 30,Male,For-Profit,General,"Cleveland, OH",USA,North America,https://www.linkedin.com/in/andrew-watterson/,41.49932,-81.69436
47,Andy Karsner,Partner,Emerson Collective,Over 30,Male,For-Profit,Energy/Environmental,"Palo Alto, CA",USA,North America,https://www.linkedin.com/in/andy-karsner-3191952/,37.441883,-122.14302
48,Angela Wilkinson,Secretary General and CEO,World Energy Council,Over 30,Female,Non-Profit,NGO,Oxford,United Kingdom,Europe,https://www.linkedin.com/in/angela-wilkinson-6249343/,51.754816,-1.254367
49,Aniket Shah,Senior Advisor for Sustainable Finance,Sustainable Development Solutions Network,Over 30,Male,Non-Profit,NGO,"New York, NY",USA,North America,https://www.linkedin.com/in/aniket-shah-phd-360a3635/ ,40.712775,-74.005973
50,Aniruddha Dasgupta,Global Director,World Resources Institute Ross Center for Sustainable Cities,Over 30,Male,Non-Profit,Energy/Environmental,"Washington, D.C.",USA,North America,https://www.wri.org/profile/aniruddha-dasgupta,38.907192,-77.036871
51,Ankur Dhanuka,Deep Decarbonization Research Fellow with the Environment and Natural Resources Program,Harvard,Over 30,Male,Non-Profit,University,"Cambridge, MA",USA,North America,https://www.linkedin.com/in/ankur-dhanuka-744bbb28/,42.373616,-71.109734
