idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
131,Dawn Lippert,Chief Executive Officer,Elemental Excelerator,Over 30,Female,Non-Profit,Energy/Environmental,"Honolulu, Hawaii",USA,North America,https://www.linkedin.com/in/dawnlippert/,21.306944,-157.858333
132,Deanna Bratter,Head of Sustainable Development,Danone,Over 30,Female,For-Profit,Energy/Environmental,"Lafayette, CO",USA,North America,https://www.linkedin.com/in/deannabratter/,39.993596,-105.089706
133,Devi Thant Sin,Founder,Myanmar Green Network,Over 30,Female,Non-profit,Energy/Environmental,Yangon,Myanmar,Asia,https://news.mongabay.com/2017/01/myanmars-green-princess-is-a-humble-activist-on-a-mission/,16.840939,96.173526
134,Diwigdi Valiente,Head of Sustainability,Panamanian Ministry of Tourism,Over 30,Male,Non-Profit,Government,Panama City,Panama,North America,https://www.linkedin.com/in/diwigdi-valiente-19a25591/?originalSubdomain=pa,30.158813,-85.660206
135,Dominique Nils Conseil,Director of Board; Founder and Former CEO,Ceres; Sustainable Results,Over 30,Female,For-Profit,Energy/Environmental,"Minneapolis, MN",USA,North America,https://www.linkedin.com/in/dominique-nils-conseil/,44.977753,-93.265011
136,Dominique Souris,Co-Founder and Executive Director,Youth Climate Lab,Under 30,Female,Non-Profit,NGO,Ontario,Canada,North America,https://www.linkedin.com/in/dominiquesouris/ ,51.253775,-85.323214
137,Don Henry,Enterprise Professor of Environmentalism at the Melbourne Sustainable Society Institute,University of Melbourne,Over 30,Male,Non-Profit,University,Melbourne,Australia,Australia/Oceania,https://msd.unimelb.edu.au/about/our-people/academic/don-henry,-37.813628,144.963058
138,Don McIntyre,Managing Director and CEO,Impact Metrics,Over 30,Male,For-Profit,Energy/Environmental,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/donmcintyre/,38.907192,-77.036871
139,Donald Lindsay,Chief Executive Officer,Teck Resources,Over 30,Male,For-Profit,Energy/Environmental,Vancouver,Canada,North America,https://www.linkedin.com/in/don-lindsay-01136926/?originalSubdomain=ca,49.282729,-123.120738
140,Dorothee D'Herde,Head of Sustainable Business,Vodafone Group,Over 30,Female,For-Profit,Energy/Environmental,London,United Kingdom,Europe,https://www.linkedin.com/in/dorotheedherde/,51.507218,-0.127586
141,Durreen Shahnaz,Founder and CEO,Impact Investment Exchange,Over 30,Female,For-Profit,Energy/Environmental,Singapore,Singapore,Asia,https://www.linkedin.com/in/durreenshahnaz/,1.352083,103.819836
142,Ed Mazria,CEO,Architecture 2030,Over 30,Male,Non-Profit,"NGO/Architecture, Design, Engineering","Sante Fe, New Mexico",USA,North America,https://www.linkedin.com/in/edward-mazria-5b0117129/ ,35.686975,-105.937799
143,"Edda Fernández Luiselli
",Director General,Primary Sector and Renewable Natural Resources in the Undersecretary for Environmental Regulation and Promotion of the Ministry of Environment and Natural Resources (SEMARNAT),Over 30,Female,Non-profit,Government,Mexico City,Mexico,North America,http://www5.cec.org/content/edda-fern%C3%A1ndez,19.432608,-99.133208
144,Eduardo Gudynas,Director,Latin American Centre for Social Ecology,Over 30,Male,Non-Profit,NGO,Montivideo,Uruguay,South America,https://greattransition.org/contributor/eduardo-gudynas,-34.901113,-56.164531
145,Edward Palmieri,Director of Global Sustainability,Facebook,Over 30,Male,For-Profit,General,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/ejpalmieri/,38.907192,-77.036871
146,Elaine Hsieh,Co-Founder,Third Derivative,Over 30,Female,Non-Profit,NGO,"Oakland, CA",USA,North America,https://www.linkedin.com/in/elaineishere/ ,37.804351,-122.271164
147,Elaine Strunk,Director of Global Sustainability,McDonalds,Over 30,Female,For-Profit,General,"Chicago, IL",USA,North America,https://www.linkedin.com/in/elainestrunk/,41.878114,-87.629798
148,Elizabeth Wanjiru Wathuti,Founder,Green Generation Initiative (GGI),Under 30,Female,Non-Profit,Circular Economy,Nairobi,Kenya,Africa,https://www.linkedin.com/in/elizabeth-wathuti-8415a299/,-1.292066,36.821946
149,Ellen Bell,Manager of Energy Transitions,Environmental Defense Fund,Over 30,Female,Non-Profit,Energy/Environmental,"Chicago, IL",USA,North America,https://www.linkedin.com/in/ellenkbell/,41.878114,-87.629798
150,Ellie Cohen,CEO,The Climate Center,Over 30,Female,Non-Profit,NGO,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/elliecohen/,37.77493,-122.419416
151,Emani Kumar ,Chairman,Green growth Asia foundation,Over 30,Male,Non-Profit,Enviromental ,South Delhi ,India ,Asia,https://www.linkedin.com/in/emani-kumar-93972616/?originalSubdomain=in,28.481655,77.187286
152,Emilie Mazzacurati,Global Head of Climate Solutions,Moody's Corporation,Over 30,Female,For-Profit,General,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/emazzacurati/,37.871523,-122.273042
153,Emilio Tenuta,Vice President Corporate Sustainability,Ecolab,Over 30,Male,For-Profit,General,"Saint Paul, MN",USA,North America,https://www.linkedin.com/in/emilio-tenuta-670846/,44.953703,-93.089958
154,Emily Chew,Executive Vice President and Chief Responsible Investment Officer,Calvert Research and Management,Over 30,Female,For-Profit,General,"New York, NY",USA,North America,https://www.linkedin.com/in/chewemily/,40.712775,-74.005973
155,Emily Shuckburgh,Director,Cambridge Zero at University of Cambridge,Over 30,Female,Non-Profit,University,Cambridge,United Kingdom,Europe,https://www.linkedin.com/in/emily-shuckburgh-01750a4/,52.204267,0.114908
156,Emma Stewart,Chief Sustainability Officer,Netflix,Over 30,Female,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/emmastewart/,37.77493,-122.419416
157,Enrique Lores,Chief Executive Officer,HP Inc.,Over 30,Male,For-Profit,General,"Los Altos, CA",USA,North America,https://www.linkedin.com/in/enriquelores/,37.385218,-122.11413
158,Eric Garcetti,"Mayor of LA, Chairperson",C40 Cities,Over 30,Male,Non-Profit,NGO,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/ericgarcetti/ ,34.052234,-118.243685
159,Erica Mackie,Co-Founder and CEO,GRID Alternatives,Over 30,Female,Non-Profit,NGO,"Oakland, CA",USA,North America,https://www.linkedin.com/in/erica-mackie-9487539/ ,37.804351,-122.271164
160,Erich Pica,President,Friends of the Earth,Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,"https://foe.org/about-us/our-team/
https://www.linkedin.com/in/erich-pica-4b84011a/",38.907192,-77.036871
161,Erin Cooke,Sustainability Director,San Francisco International Airport,Over 30,Female,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/erinmcooke/,37.77493,-122.419416
162,Erin Meezan,VP and Chief Sustainability Officer,Interface,Over 30,Female,For-Profit,General,"Atlanta, GA",USA,North America,https://www.linkedin.com/in/erinmeezan/,33.748995,-84.387982
163,Ernest Moniz,President and Chief Executive Officer,Energy Futures Initiative,Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/ernestmoniz/ ,38.907192,-77.036871
164,Ernst Ulrich Von Weizsäcker,Former Co-President,Club of Rome,Over 30,Male,Non-Profit,NGO,Emmendingen,Germany,Europe,http://ernst.weizsaecker.de/en/,48.117092,7.853905
165,Esteban Martinez Lozada,Sustainability Director,Green Loop,Over 30,Male,For-Profit,"Architecture, Design, Engineering",Bogotá,Colombia,South America,https://www.usgbc.org/people/esteban-martinez-lozada/0010526349 https://www.linkedin.com/in/emartinezl/?locale=es_ES,4.710989,-74.072092
166,Esther Speck,Vice President of Global Sustainability and Social Impact,LuluLemon,Over 30,Female,For-Profit,General,Vancouver,Canada,North America,https://www.linkedin.com/in/esther-speck-1896b62/ ,49.282729,-123.120738
167,Eugene McKenna,Managing Director of Green Hydrogen,Johnson Matthey,Over 30,Male,For-Profit,Energy/Environmental,London,United Kingdom,Europe,https://www.linkedin.com/in/eugene-mckenna-3673a726/,51.507218,-0.127586
168,Eva Zabey,Executive Director,Business for Nature,Over 30,Female,Non-Profit,NGO,Geneva,Switzerland,Europe,https://www.linkedin.com/in/eva-zabey-2915403/,46.204391,6.143158
169,Isra Hirsi,Cofounder and Co-Executive Director,U.S. Youth Climate Strike,Under 30,Female,Non-profit,Activist,"Minneapolis, MN",USA,North America,https://www.instagram.com/israhirsi/?hl=en,44.977753,-93.265011
170,Evelyn  Acham,National Ugandan Coordinator,Rise Up Movement,Under 30,Female,Non-Profit,Activist,Kampala,Uganda,Africa,https://assembly.malala.org/stories/evelyn-acham-wants-ugandan-schools-to-add-climate-change-to-the-curriculum,0.347596,32.58252
171,Eyal  Weintraub,Co-founder,Jóvenes por el Clima Argentina (Youth for Climate Argentina),Under 30,Male,Non-Profit,Activist,Buenos Aires,Argentina,South America,https://www.greeneuropeanjournal.eu/article-author/eyal-weintraub/ https://globalclimatestrike.net/global-youth-climate-strikes-are-back-meet-the-strikers/,-34.603684,-58.381559
172,Farid Baddache,CEO and Co-Founder,Ksapa,Over 30,Male,For-Profit,Impact Investing,Paris,France,Europe,https://www.linkedin.com/in/farid-baddache/,48.856614,2.352222
173,Fatemah Alzelzela,Founder,EcoStar,Under 30,Female,For-Profit,Environmental Service - waste as a resource,Kuwait City,Kuwait,Asia,https://www.instagram.com/eco.star.kw/?hl=en,29.375859,47.977405
174,Fatih Birol,Executive Director,International Energy Agency,Over 30,Male,Non-Profit,Government,Paris,France,Europe,https://www.linkedin.com/in/fatih-birol-66862a195/,48.856614,2.352222
175,Fatou Jeng,Founder,Clean Earth Gambia,Under 30,Female,Non-Profit,Activist,Banjul,The Gambia,Africa,https://www.linkedin.com/in/fatou-jeng-605b8410b/detail/contact-info/,13.454375,-16.575319
176,Filagot Tesfaye,President and Founder,Ethiopian Women in Energy network ,Over 30,Female,Non-Profit,,Addis Ababa,Ethiopia,Africa,https://w4c.org/profile/addis-ababa-filagot-tesfaye http://ewien.org/about/team/filagot-tesfaye/,8.980603,38.75776
177,Flavia Bellaguarda,Co-founder & Ambassador,Youth Climate Leaders,Under 30,Female,Non-Profit,Energy/Environmental,São Paulo,Brazil,South America,https://www.linkedin.com/in/fl%C3%A1via-bellaguarda/,-23.555771,-46.639557
178,Francesco  La Camera,Director-General of the International Renewable Energy Agency (IRENA).,IRENA,Over 30,Male,Non-Profit,Energy,Abu Dhabi ,UAE,Asia,Twitter: https://twitter.com/flacamera,24.453884,54.377344
179,Francia Marquez,2018 Goldman Prize Recipient,Goldman Environmental Prize,Over 30,Male,Non-Profit,Activist,Cali,Colombia,South America,https://www.oneearth.org/environmental-hero-francia-marquez/,3.451647,-76.531985
180,Francisco Vera,Founder,Guardianes Por La Vida,Under 30,Male,Non-Profit,Activist,Villeta,Colombia,South America,https://remezcla.com/culture/meet-francisco-vera-11-year-old-colombia-environmental-activist-greta-thunberg/ https://www.eltiempo.com/cultura/francisco-vera-el-nino-ambientalista-en-entrevista-con-revista-bocas-583694,5.011706,-74.470362
181,Francois Austin,Partner and Global Head of Energy Practice,Oliver Wyman,Over 30,Male,For-Profit,Energy/Environmental,London,United Kingdom,Europe,https://www.linkedin.com/in/francoisaustin/,51.507218,-0.127586
182,Francois-Henri Pinault,Chief Executive Officer,Kering SA,Over 30,Male,For-Profit,General,London,United Kingdom,Europe,https://www.kering.com/en/group/our-governance/  https://www.linkedin.com/in/fran%C3%A7ois-pinault-406b9673/?originalSubdomain=uk,51.507218,-0.127586
183,Frank Rijsberman,Director General,Global Green Growth Institute,Over 30,Male,Non-Profit,NGO,Seoul,South Korea,Asia,https://www.linkedin.com/in/frank-rijsberman-17841014/,37.566535,126.977969
184,Frank Rukavina,President and Senior Advisor,Sustainable Innovations Operative,Over 30,Male,For-Profit,Energy/Environmental,"Denver, CO",USA,North America,https://www.linkedin.com/in/frank-rukavina/,39.739236,-104.990251
185,Fred Krupp,President,Environmental Defense Fund,Over 30,Male,Non-Profit,NGO,"New York, NY",USA,North America,"https://www.edf.org/people/fred-krupp
https://www.linkedin.com/in/fred-krupp-66310510a/",40.712775,-74.005973
186,Gayle Schueller,Vice President and Chief Sustainability Officer,3M,Over 30,Female,For-Profit,General,"Minneapolis, MN",USA,North America,https://www.linkedin.com/in/gayleschueller/,44.977753,-93.265011
187,George Bandy Jr.,Head of Worldwide Circular Economy,Amazon,Over 30,Male,For-Profit,General,"Atlanta, GA",USA,North America,https://www.linkedin.com/in/george-bandy-jr-578b164/,33.748995,-84.387982
188,Alexandra Criscuolo,Environmental Sustainability Manager,New York Road Runners,Under 30,Female,Non-Profit,NGO,"New York, NY",USA,North America,https://www.linkedin.com/in/alexandracriscuolo/,40.712775,-74.005973
189,Gil Friend,"CEO, Keynote Speaker",Natural Logic,Over 30,Male,For-Profit,Energy/Environmental,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/gfriend/,37.871523,-122.273042
190,Gina McCarthy,National Climate Advisor; Former President,White House Office of Domestic Climate Policy; NRDC,Over 30,Female,Non-Profit,Government,"Boston, MA",USA,North America,https://www.nrdc.org/experts/gina-mccarthy,42.360082,-71.05888
191,Gloria  Bulus,Founder/Executive Director,Bridge That Gap Initiative,Over 30,Female,Non-Profit,Energy/Environmental,Kaduna ,Nigeria,Africa,https://www.ted.com/profiles/7696161,10.510464,7.416505
192,Xiye Bastida,Lead Organizer,Fridays for Future,Under 30,Female,Non-profit,Activist,"New York, NY",USA,North America,https://www.linkedin.com/in/xiye-bastida-377394199/,40.712775,-74.005973
193,Golo J. Pilz,Director,India One,Over 30,Male,Non-Profit,Government,Mount Abu,India,Asia,http://www.cop-23.org/speakers/golo-j.-pilz ,24.592591,72.715627
194,Gonzalo Muñoz,High Level Climate Action Champion,COP25,Over 30,Male,Non-Profit,NGO,Santiago,Chile,South America,https://www.linkedin.com/in/gonzalomunozabogabir/ ,-33.44889,-70.669266
195,Graciela Chichilnisky,CEO and Co-founder,Global Thermostat,Over 30,Female,For-Profit,,"New York, NY",USA,North America,https://globalthermostat.com/graciela-chichilnisky/,40.712775,-74.005973
196,Gregor Robertson,"Former Mayor of Vancouver, Global Ambassador",Global Covenant of Mayors for Climate and Energy,Over 30,Male,Non-Profit,NGO,Vancouver,Canada,North America,https://www.linkedin.com/in/gregor-robertson/?originalSubdomain=ca ,49.282729,-123.120738
197,Greta Thunberg,Social Media Climate Activist,,Under 30,Female,Non-profit,Activist,Stockholm,Sweden,Europe,https://www.instagram.com/gretathunberg/,59.329324,18.068581
198,Guy-Noël Sauvion,Fellow Scientist and Ecoefficieny Manager,Solvay,Over 30,Male,For-Profit,Energy/Environmental,Région de Lyon,France,Europe,https://www.linkedin.com/in/guy-no%C3%ABl-sauvion-948530b9/,45.740547,4.819742
199,H.H. Sheikh Mohammed bin Rashid Al Maktoum,Vice President and Prime Minister,UAE,Over 30,Male,Non-Profit,Government,Dubai,UAE,Asia,https://www.linkedin.com/in/mohammedbinrashid/?originalSubdomain=ae,25.204849,55.270783
200,Hamid Moghadam,Chairman & Chief Executive Officer,Prologis,Over 30,Male,For-Profit,General,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/hamid-moghadam-936026178/,37.77493,-122.419416
201,Han de Groot,Executive Director; Former CEO,WASTE NL; Rainforest Alliance,Over 30,Male,Non-Profit,NGO,South Holland,Netherlands,Europe,https://www.linkedin.com/in/handegroot1/,41.600868,-87.606989
202,Giana Amador,Founder and Policy Director,Carbon 180,Under 30,Female,Non-Profit,NGO,"Oakland, CA",USA,North America,https://www.linkedin.com/in/gianaamador/,37.804351,-122.271164
203,Hannah Jones,Former Chief Sustainability Officer,Nike,Over 30,Female,For-Profit,General,"Portland, OR",USA,North America,https://www.linkedin.com/in/joneshannah/,45.515232,-122.678385
204,Heather Henriksen,Chief Sustainability Officer,Harvard University,Over 30,Female,Non-Profit,University,"Boston, MA",USA,North America,https://www.linkedin.com/in/heatherhenriksen/,42.360082,-71.05888
205,Helen Clarkson,CEO,The Climate Group,Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/helenclarkson/,51.507218,-0.127586
206,Helena Molin Valdes,Head of Secretariat,Climate and Clean Air Coalition,Over 30,Female,Non-Profit,NGO,Paris,France,Europe,https://www.linkedin.com/in/helena-molin-valdes-7a222748/,48.856614,2.352222
207,Henning Ohlsson,Managing Director,Epson Deutschland Gmbh,Over 30,Male,For-Profit,General,Cologne Bonn,Germany,Europe,https://www.linkedin.com/in/henning-ohlsson-43b01348/,50.874502,7.191484
208,Henrik Poulsen,Chief Executive Officer,Ørsted,Over 30,Male,For-Profit,General,Copenhagen,Denmark,Europe,https://www.linkedin.com/in/henrik-poulsen-155b22189/,55.676097,12.568337
209,Herbert Giradet,Executive Committee Member,Club of Rome,Over 30,Male,Non-Profit,NGO,Newport,United Kingdom,Europe,https://www.linkedin.com/in/herbert-girardet-a2853811/?originalSubdomain=uk,41.490102,-71.312828
210,Herry  Cho,"Managing Director, Head of Sustainability and Sustainable Finance",SGX,Over 30,Female,For-Profit,General,Singapore,Singapore,Asia,https://www.linkedin.com/in/herrycho/,1.352083,103.819836
211,Hilda Liswani,Founder and CEO,WeBloom,Under 30,Female,For-Profit,Energy/Environmental,Zurich,Switzerland,Europe,https://www.linkedin.com/in/hilda-n-liswani-7952218a/,47.376887,8.541694
212,Hindou Oumarou Ibrahim,President,Association for Indigenous Women and Peoples of Chad (AFPAT),Over 30,Female,Non-Profit,NGO,N'Djamena,Chad,Africa,https://www.linkedin.com/in/hindou-oumarou-ibrahim-2ba22410/?originalSubdomain=td,12.134846,15.055742
213,Hirohide Furutani,Director,Renewable Energy Research Center (Japan),Over 30,Male,Non-profit,Energy/Environmental,Koriyama,Japan,Asia,https://orcid.org/0000-0002-5079-4764,37.400478,140.359682
214,Hiroshi Komiyama,Chairman,Platinum Society Network,Over 30,Male,Non-Profit,NGO,Tokyo,Japan,Asia,https://www.linkedin.com/pulse/capitalism-coming-age-story-daisuke-tsuchiya/,35.676192,139.650311
215,Hoesung Lee,Chair of IPCC,Intergovernmental Panel on Climate Change,Over 30,Male,Non-Profit,NGO,Seoul,South Korea,Asia,https://www.linkedin.com/in/hoesung-lee-68792892/?originalSubdomain=kr,37.566535,126.977969
216,Isha Clarke,Founding Member,Youth vs. Apocalypse,Under 30,Female,Non-profit,Activist,"Oakland, CA",USA,North America,https://www.instagram.com/curlyqisha/?hl=en,37.804351,-122.271164
217,Howard Jones,Group Head of Sustainability and Community,Bangarra Group,Over 30,Male,For-Profit,General,London,United Kingdom,Europe,https://www.linkedin.com/in/howard-jones-6a253b4/,51.507218,-0.127586
218,Hunter Lovins,President,Natural Capitalism Solutions,Over 30,Female,Non-Profit,NGO,"Denver, CO",USA,North America,https://www.linkedin.com/in/hunterlovins/ ,39.739236,-104.990251
219,Hynd Bouhia,President and CEO,Strategica,Over 30,Female,For-Profit,Energy/Environmental,Rabat,Morocco,Africa,https://www.linkedin.com/in/hynd-bouhia-phd-0289a3a3/,33.97159,-6.849813
220,Illac Diaz,Founder,Liter of Light,Over 30,Male,Non-Profit,NGO,Manila,Philippines,Asia,https://www.linkedin.com/in/ildiaz/?originalSubdomain=ph,14.599512,120.98422
221,Inesh Singh,Chief Sustainability Officer,Sula Vineyards,Under 30,Male,For-Profit,General,Haryana,India,Asia,https://www.linkedin.com/in/ineshsingh/,29.058776,76.085601
222,Inger Anderson,Executive Director,United Nations Environment Programme,Over 30,Female,Non-Profit,Government,Nairobi,Kenya,Africa,https://www.unep.org/people/inger-andersen,-1.292066,36.821946
223,Ioannis Ioannou,Associate Professor of Strategy and Entrepreneurship,London Business School,Over 30,Female,Non-Profit,University,London,United Kingdom,Europe,https://www.linkedin.com/in/iioannoulbs/,51.507218,-0.127586
224,Ion Yadigaroglu,Co-Founder and Partner,Capricorn Investment Group,Over 30,Male,For-Profit,Energy/Environmental,"New York, NY",USA,North America,https://www.linkedin.com/in/ion-yadigaroglu-6042b0/,40.712775,-74.005973
225,Isabella Kocher,Former CEO,Engie,Over 30,Female,For-Profit,Energy/Environmental,Paris,France,Europe,https://www.linkedin.com/in/isabellekocher/,48.856614,2.352222
226,Isabella Lovin,"FORMER... Need another title Minister for Climate and Environment, Deputy Prime Minister",Government of Sweden,Over 30,Female,Non-Profit,Government,Stockholm,Sweden,Europe,https://www.government.se/government-of-sweden/ministry-of-the-environment/isabella-lovin/,59.329324,18.068581
227,Chris Castro,Director of Sustainability and Resilience,City of Orlando,Under 30,Male,Non-Profit,Government,"Orlando, FL",USA,North America,https://www.linkedin.com/in/chriscastroideas/ ,28.538383,-81.378927
228,Charlotte Bande,Global Head of Climate Strategy,Quantis International,Under 30,Female,For-Profit,Energy/Environmental,"San Diego, CA",USA,North America,https://www.linkedin.com/in/charlotte-bande/,32.715738,-117.161084
229,Izabella Teixeira,Co-Chair; Former Minister of the Environment,UNEP International Resource Panel; Brazil,Over 30,Female,Non-Profit,Government,Rio de Janeiro,Brazil,South America,https://www.linkedin.com/in/izabella-monica-teixeira-she-her-66405812a/?originalSubdomain=br,-22.906847,-43.172896
230,Jack Ehnes,Chief Executive Officer,CalSTRS ,Over 30,Male,For-Profit,General,"West Sacramento, CA",USA,North America,https://www.linkedin.com/in/jack-ehnes/,38.580461,-121.530234
231,Jad Daley,President and CEO,American Forests,Over 30,Male,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/jad-daley-08882010/,38.907192,-77.036871
232,James Cameron,Senior Advisor,"Pollination, Tulchan & SYSTEMIQ",Over 30,Male,For-Profit,Energy/Environmental,London,United Kingdom,Europe,https://www.linkedin.com/in/jamescameron4/,51.507218,-0.127586
233,James Connelly,Chief Executive Officer,My Green Lab,Over 30,Male,Non-Profit,NGO,"Seattle, WA",USA,North America,https://www.linkedin.com/in/james-connelly-55909024/,47.60621,-122.332071
234,James Ellsmoor,Founder and CEO; Director,Island Innovation; Solar Head of State,Under 30,Male,For-Profit,Energy/Environmental,Lisbon,Portugal,Europe,https://www.linkedin.com/in/jellsmoor/,38.722252,-9.139337
235,James Goudreau,Head of Climate,Novartis,Over 30,Male,For-Profit,Energy/Environmental,"Boston, MA",USA,North America,https://www.linkedin.com/in/jamesgoudreau/,42.360082,-71.05888
236,James Hansen,"Adjunct Professor and Director of Climate Science, Awareness, and Solutions",Columbia University’s Earth Institute,Over 30,Male,Non-profit,Activist,"Palisades, NY",USA,North America,https://www.earth.columbia.edu/users/profile/james-e-hansen,41.011308,-73.913293
237,Jane Burston,"Executive Director, Former Head of Climate and Environment","Clean Air Fund, UK NPL",Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/janeburston/,51.507218,-0.127586
238,Jane Lubchenco,Professor,Environmental (Marine) Sciences at Oregon State University,Over 30,Female,Non-Profit,Energy/Environmental,"Corvallis, OR",USA,North America,https://www.linkedin.com/in/jane-lubchenco-7794a2207/,44.564566,-123.262044
239,Jane McDonald,Executive Vice President,International Institute for Sustainable Development,Over 30,Female,Non-Profit,NGO,Winnipeg,Canada,North America,https://www.linkedin.com/in/jane-mcdonald-75695a66/ ,49.895136,-97.138374
240,Janet Ranganathan,Vice President Science and Research,World Resources Institute (on board of Ceres),Over 30,Female,Non-Profit,NGO,"Bethesda, MD",USA,North America,https://www.linkedin.com/in/janet-ranganathan-512355a/,38.984652,-77.094709
241,Janez Potočnik,Co-Chair,UNEP International Resource Panel,Over 30,Male,Non-Profit,Government,Brussels,Belgium,Europe,https://www.linkedin.com/in/janez-potocnik-872470a7/?originalSubdomain=be,50.85034,4.35171
242,Janice Lao,ESG Director,Helen of Troy,Over 30,Female,For-Profit,General,"El Paso, TX",USA,North America,https://www.linkedin.com/in/janiceillao/,31.761878,-106.485022
243,Janine Benyus,Founder,Biomimicry Institute,Over 30,Female,Non-Profit,NGO,"Stevensville, MT",USA,North America,https://www.linkedin.com/in/janine-benyus-a5626/ ,46.509922,-114.093159
244,Janis Searles Jones,Chief Executive Officer,Ocean Conservancy,Over 30,Female,Non-Profit,NGO,"Portland, OR",USA,North America,https://www.linkedin.com/in/janissearlesjones/ ,45.515232,-122.678385
245,Jason Walters,Director of Sustainability,Pearson Plc,Over 30,Male,For-Profit,General,"New York, NY",USA,North America,https://www.uschamberfoundation.org/bio/jason-walters,40.712775,-74.005973
246,Jason Youner,Founder and CEO,Companies vs Climate Change Sustainability Consulting,Over 30,Male,For-Profit,Energy/Environmental,"New York, NY",USA,North America,https://www.linkedin.com/in/jasonyouner/,40.712775,-74.005973
247,Jed Emerson,"Managing Director, Global Lead Impact Investing",Tiedemann Advisors,Over 30,Male,For-Profit,Energy/Environmental,"New York, NY",USA,North America,https://www.linkedin.com/in/jedemerson/,40.712775,-74.005973
248,Jeff Lalich,EHS for Global Service Center Operations,Rivian,Over 30,Male,For-Profit,Energy/Environmental,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/jefflalich/,37.77493,-122.419416
249,Jeffrey Sachs,Director,Columbia Center on Sustainable Development,Over 30,Male,Non-Profit,University,"New York, NY",USA,North America,https://www.linkedin.com/in/jeffrey-sachs-7494689a/,40.712775,-74.005973
250,Jennifer Holmgren,CEO,LanzaTech,Over 30,Female,For-Profit,Energy/Environmental,"Skokie, IL",USA,North America,https://www.linkedin.com/in/jennifer-holmgren-95b6201/,42.032402,-87.741625
251,Jennifer Morgan,Executive Director,Greenpeace International,Over 30,Female,Non-Profit,NGO,Amsterdam,Netherlands,Europe,https://www.linkedin.com/in/jennifer-morgan-52940b188/,52.367573,4.904139
252,Jennifer Morris,CEO; Former President,The Nature Conservancy; Conservation International,Over 30,Female,Non-Profit,NGO,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/jennifer-morris-934a426/ ,38.907192,-77.036871
253,Jennifer Silberman,VP of ESG,YETI,Over 30,Female,For-Profit,General,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/jennifer-silberman-3b40492/,38.907192,-77.036871
254,Jessica Aldridge,Director of Sustainability and Zero Watse Programs,Athens Services,Over 30,Female,For-Profit,Energy/Environmental,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/jessicaaldridgegreenbean/,34.052234,-118.243685
255,Jill Dumain,CEO,bluesign technologies ag,Over 30,Female,For-Profit,Energy/Environmental,St. Gallen,Switzerland,Europe,https://www.linkedin.com/in/jilldumain/?originalSubdomain=ch,47.424482,9.376717
256,Jim Skea,Professor of Sustainable Energy,Imperial College London,Over 30,Male,Non-Profit,University,London,United Kingdom,Europe,https://www.imperial.ac.uk/people/j.skea,51.507218,-0.127586
257,Joan MacNaughton,Executive Chair of the World Energy Trilemma,World Energy Council,Over 30,Female,Non-Profit,NGO,London,United Kingdom,Europe,https://www.linkedin.com/in/joanmacnaughton/,51.507218,-0.127586
258,Joao Paolo Brotto Goncalves Ferreira,Chief Executive Officer,Natura & Co,Over 30,Male,For-Profit,General,São Paulo,Brazil,South America,https://www.bloomberg.com/profile/person/19032200 https://www.forbes.com/companies/natura-co/?sh=41fb5faa2ecf,-23.555771,-46.639557
259,Joe Rozza,Director of Sustainability and Resilience,Jacobs,Over 30,Male,For-Profit,"Architecture, Design, Engineering","Atlanta, GA",USA,North America,https://www.linkedin.com/in/joe-rozza-a8143b12/,33.748995,-84.387982
260,John Elliott,Chief Sustainability Officer,Berkeley National Laboratory,Over 30,Male,Non-Profit,University,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/john-elliott-7317a662/,37.871523,-122.273042
261,John Kerry,Special Presidential Envoy for Climate,U.S. Department of State,Over 30,Male,Non-Profit,Government,"Boston, MA",USA,North America,https://www.state.gov/biographies/john-kerry/,42.360082,-71.05888
262,John Kliem,Director of Federal Energy Strategy; Former Executive Director of Resilient Energy Program Office,Johnson Controls; US Navy,Over 30,Male,For-Profit,General; Government,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/johnkliem/,38.907192,-77.036871
