idx,Last Name(s),company,Title (as a thought leader),notes,City/State,Country,city,website,lat,lng,tax1,tax2,tax3
52,Bratter,Deanna Bratter,Head of Sustainable Development,Danone,"Lafayette, CO",USA,"Lafayette, CO, USA",https://www.linkedin.com/in/deannabratter/,39.993596,-105.089706,Leader,Leader,Leader
53,Brinkema,Corey Brinkema,Chief Executive Officer,Forest Stewardship Council,"Minneapolis, MN",USA,"Minneapolis, MN, USA",https://www.linkedin.com/in/corey-brinkema-b529338/ ,44.977753,-93.265011,Leader,Leader,Leader
54,Bromberg,Gidon Bromberg,Co-Founder and Israeli Director,EcoPeace Middle East,Tel Aviv,Israel,"Tel Aviv, Israel",https://www.linkedin.com/in/gidon-bromberg-276504/?originalSubdomain=il,32.0853,34.781768,Leader,Leader,Leader
55,Brooks,Tim Brooks,VP of Environmental Sustainability and Corporate Responsibility,Lego,Billund,Denmark,"Billund, Denmark",https://www.linkedin.com/in/tim-brooks-48a5b09/?originalSubdomain=dk  https://www.fastcompany.com/person/tim-brooks,55.728449,9.112366,Leader,Leader,Leader
56,Brown,Jerry Brown,Former Governor,State of California,"Colusa, CA",USA,"Colusa, CA, USA",https://governors.library.ca.gov/34-jbrown.html,39.214334,-122.009418,Leader,Leader,Leader
57,Brown,Carol-Ann Brown,President,The Delphi Group,Calgary,Canada,"Calgary, Canada",https://www.linkedin.com/in/carol-ann-brown-37512923/?originalSubdomain=ca,51.044733,-114.071883,Leader,Leader,Leader
58,Brune,Michael Brune,Executive Director,Sierra Club,"Oakland, CA",USA,"Oakland, CA, USA",https://www.linkedin.com/in/michael-brune-6805421b/,37.804351,-122.271164,Leader,Leader,Leader
59,Brunel-Ligneau,Christine Brunel-Ligneau,Head of Sustainable Agriculture,Bayer AG CropScience Division,Düsseldorf,Germany,"Düsseldorf, Germany",https://www.linkedin.com/in/christine-brunel-ligneau/?originalSubdomain=de,51.227741,6.773456,Leader,Leader,Leader
60,Buchanan,Marisa Buchanan,"Managing Director, Head of Sustainability",JP Morgan Chase & Co.,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/marisa-buchanan-2b10206/,40.712775,-74.005973,Leader,Leader,Leader
61,Buchner,Barbara Buchner,Global Managing Director,Climate Policy Initiative,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/barbara-buchner-3baaa86/,37.77493,-122.419416,Leader,Leader,Leader
62,Bullard,Robert Bullard,Distinguished Professor of Urban Planning at the Barbara Jordan-Mickey Leland School of Public Affairs,Texas Southern University,"Houston, TX",USA,"Houston, TX, USA",https://www.linkedin.com/in/robert-bullard-7b471733/,29.760427,-95.369803,Leader,Leader,Leader
63,Bulus,Gloria  Bulus,Founder,Bridge That Gap Initiative,Kaduna ,Nigeria,"Kaduna , Nigeria",https://www.linkedin.com/in/gloria-kasang-bulus-1b006830/?originalSubdomain=ng,10.510464,7.416505,Leader,Leader,Leader
64,Burston,Jane Burston,"Executive Director, Former Head of Climate and Environment","Clean Air Fund, United Kingdom National Physical Laboratory",London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/janeburston/,51.507218,-0.127586,Leader,Leader,Leader
65,Cakman,Burak Cakman,Former Dean of Fashion,Parsons School of Design,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/burak-cakmak-2b8a4a1/?originalSubdomain=uk,51.507218,-0.127586,Leader,Leader,Leader
66,Calder,Sasha Calder,Head of Sustainability,Genomatica,"San Diego, CA",USA,"San Diego, CA, USA",https://www.linkedin.com/in/sashacalder/,32.715738,-117.161084,Leader,Leader,Leader
67,Cameron,James Cameron,Senior Advisor,"Pollination, Tulchan & SYSTEMIQ",London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/jamescameron4/,51.507218,-0.127586,Leader,Leader,Leader
68,Cameron,Lynelle Preston Cameron,Vice President of Sustainability; Chief Executive Officer of Autodesk Foundation,Autodesk,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/lynelle-preston-cameron-2b11591/,37.77493,-122.419416,Leader,Leader,Leader
69,Campanale,Mark Campanale,Founder and Executive Director,Carbon Tracker,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/mark-campanale-1886203/,51.507218,-0.127586,Leader,Leader,Leader
70,Cao,Xiangkun (Elvis) Cao,Global Shaper,World Economic Forum,"Cambridge, MA",USA,"Cambridge, MA, USA",https://www.linkedin.com/in/xiangkun-elvis-cao/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABGYeU4BBddA4zIpSXAcA2ZUelcqtO6kDd8,42.373616,-71.109734,Leader,Leader,Leader
71,Cave,Etosha Cave,Co-Founder and Chief Science Officer,Twelve,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/etoshac/,37.871523,-122.273042,Leader,Leader,Leader
72,Changhua,Wu Changhua,Chief Executive Officer,Beijing Future Innovation Center,Beijing,China,"Beijing, China",https://www.linkedin.com/in/changhua-wu-a9495237/,39.904211,116.407395,Leader,Leader,Leader
73,Cheikhrouhou,Hela  Cheikhrouhou,Regional Vice President,International Finance Corporation (IFC),Tunis,Tunisia,"Tunis, Tunisia",https://www.linkedin.com/in/hela-cheikhrouhou-69081010/,36.806495,10.181532,Leader,Leader,Leader
74,Chen,Ted Chen,"Co-Founder, Chief Executive Officer, and Chief Product Architect",EverComm Singapore,Singapore,Singapore,"Singapore, Singapore",https://www.linkedin.com/in/chiuhaochen/,1.352083,103.819836,Leader,Leader,Leader
75,Chew,Emily Chew,Executive Vice President and Chief Responsible Investment Officer,Calvert Research and Management,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/chewemily/,40.712775,-74.005973,Leader,Leader,Leader
76,Cho,Herry  Cho,"Managing Director, Head of Sustainability and Sustainable Finance",SGX,Singapore,Singapore,"Singapore, Singapore",https://www.linkedin.com/in/herrycho/,1.352083,103.819836,Leader,Leader,Leader
77,Chong,Susan Chong,Founder and Chief Executive Officer,Greenpac,Singapore,Singapore,"Singapore, Singapore",https://www.linkedin.com/in/susan-chong-b9515623/?originalSubdomain=sg,1.352083,103.819836,Leader,Leader,Leader
78,Chopra,Jyoti Chopra,Chief Diversity and Sustainability Officer,MGM Resorts International,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/jyoti-chopra-inclusion/,40.712775,-74.005973,Leader,Leader,Leader
79,Clarke,Isha Clarke,Founding Member,Youth vs. Apocalypse,"Oakland, CA",USA,"Oakland, CA, USA",https://www.instagram.com/curlyqisha/?hl=en,37.804351,-122.271164,Leader,Leader,Leader
80,Clarkson,Helen Clarkson,Chief Executive Officer,The Climate Group,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/helenclarkson/,51.507218,-0.127586,Leader,Leader,Leader
81,Cohen,Ellie Cohen,Chief Executive Officer,The Climate Center,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/elliecohen/,37.77493,-122.419416,Leader,Leader,Leader
82,Colicchio,Lisa Colicchio,Director of Sustainability,Metrolink,"Los Angeles, CA",USA,"Los Angeles, CA, USA",https://www.linkedin.com/in/lisacolicchio/,34.052234,-118.243685,Leader,Leader,Leader
83,Coneim,Myriam Coneim,Director of Sustainability,American Express,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/myriamconeim/?locale=en_US,40.712775,-74.005973,Leader,Leader,Leader
84,Connelly,James Connelly,Chief Executive Officer,My Green Lab,"Seattle, WA",USA,"Seattle, WA, USA",https://www.linkedin.com/in/james-connelly-55909024/,47.60621,-122.332071,Leader,Leader,Leader
85,Conseil,Dominique Nils Conseil,Founder and Former Chief Executive Officer,Sustainable Results,"Minneapolis, MN",USA,"Minneapolis, MN, USA",https://www.linkedin.com/in/dominique-nils-conseil/,44.977753,-93.265011,Leader,Leader,Leader
86,Cook,Pia Heidenmark Cook,Chief Sustainability Officer,IKEA,Stockholm,Sweden,"Stockholm, Sweden",https://www.linkedin.com/in/pia-heidenmark-cook-bb088042/,59.329324,18.068581,Leader,Leader,Leader
87,Cooke,Erin Cooke,Sustainability Director,San Francisco International Airport,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/erinmcooke/,37.77493,-122.419416,Leader,Leader,Leader
88,Copeny,Mari Copeny,"Little Miss Flint, Founder",Wednesdays For Water,"Flint, MI",USA,"Flint, MI, USA",https://twitter.com/LittleMissFlint?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,43.012527,-83.687456,Leader,Leader,Leader
89,Coss,Terry Coss,Retired - Corporate Environmental Director,Xcel Energy,"Minneapolis, MN",USA,"Minneapolis, MN, USA",https://www.linkedin.com/in/terry-coss-5981b649/,44.977753,-93.265011,Leader,Leader,Leader
90,Costlow,John Costlow,President,Sustainable Energy Fund,"Schnecksville, PA",USA,"Schnecksville, PA, USA",https://www.linkedin.com/in/johncostlow/,40.674911,-75.617899,Leader,Leader,Leader
91,Criscuolo,Alexandra Criscuolo,Environmental Sustainability Manager,New York Road Runners,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/alexandracriscuolo/,40.712775,-74.005973,Leader,Leader,Leader
92,Crowther,Thomas Crowther,Assistant Professor of Global Ecosystem Ecology,ETH Zurich,Zurich,Switzerland,"Zurich, Switzerland",https://www.linkedin.com/in/crowther-thomas-ecology/,47.376887,8.541694,Leader,Leader,Leader
93,Curamil,Alberto  Curamil,Leader and Spokesperson,Alianza Territorial Mapuche,Aracaunia,Chile,"Aracaunia, Chile",https://www.goldmanprize.org/recipient/alberto-curamil/,-38.948921,-72.331113,Leader,Leader,Leader
94,D'Herde,Dorothee D'Herde,Former Director of Sustainability and Social Impact,McKinsey & Company,London,United Kingdom,"London, United Kingdom",https://www.linkedin.com/in/dorotheedherde/,51.507218,-0.127586,Leader,Leader,Leader
95,Daily,Gretchen  Daily,Senior Fellow,"Woods Institute for the Environment, Stanford University","Palo Alto, CA",USA,"Palo Alto, CA, USA",https://woods.stanford.edu/people/gretchen-c-daily,37.441883,-122.14302,Leader,Leader,Leader
96,Daley,Jad Daley,President and Chief Executive Officer,American Forests,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/jad-daley-08882010/,38.907192,-77.036871,Leader,Leader,Leader
97,Damen,Maureen Damen,Founder ,Rise Up Senegal,Dakar,Senegal,"Dakar, Senegal",https://twitter.com/risesenegal?lang=en,14.716677,-17.467686,Leader,Leader,Leader
98,Dandridge,Cyane Dandridge,Executive Director,Strategic Energy Innovations (SEI),"San Rafael, CA",USA,"San Rafael, CA, USA",https://www.linkedin.com/in/cyane-dandridge-6a86a0/,37.973535,-122.531087,Leader,Leader,Leader
99,Daniell,Lisa Daniell,Director of Climate Change,New Zealand Ministry for the Environment,Auckland,New Zealand,"Auckland, New Zealand",https://www.linkedin.com/in/lisa-daniell-5b353421/,-36.850883,174.764488,Leader,Leader,Leader
100,Dasgupta,Aniruddha Dasgupta,President and Chief Executive Officer,World Resources Institute (WRI),"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/aniruddha-dasgupta/,38.907192,-77.036871,Leader,Leader,Leader
101,Davenport,Juliet Davenport,Founder and Chief Executive Officer,Good Energy,Swindon,United Kingdom,"Swindon, United Kingdom",https://www.linkedin.com/in/juliet-davenport-643564/,51.555774,-1.779718,Leader,Leader,Leader
102,Davis,Tony Davis,Chief Executive Officer and Chief Information Officer,Inherent Group,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/tony-davis-42491819b,40.712775,-74.005973,Leader,Leader,Leader
103,Davis,Bill Davis,Founder & Managing Director,Stance Capital ,"Winchester, MA",USA,"Winchester, MA, USA",https://www.linkedin.com/in/bill-davis-90a7b91/,42.452303,-71.136996,Leader,Leader,Leader
104,de Groot,Han de Groot,Executive Director; Former Chief Executive Officer,WASTE NL; Rainforest Alliance,South Holland,Netherlands,"South Holland, Netherlands",https://www.linkedin.com/in/handegroot1/,41.600868,-87.606989,Leader,Leader,Leader
105,de los Angeles Carvajal,Maria de los Angeles Carvajal,Founder,"SuMar, Choices for Nature",Guaymas,Mexico,"Guaymas, Mexico",https://www.sustainabilityleadersnetwork.org/fellows/maria-carvajal/,27.917865,-110.908938,Leader,Leader,Leader
106,de Schaepmeester,Jonas de Schaepmeester,Program Manager Decarbonization,Umicore,Ghent,Belgium,"Ghent, Belgium",https://www.linkedin.com/in/jonas-de-schaepmeester-he-him-9b531377/?originalSubdomain=be,51.050018,3.730335,Leader,Leader,Leader
107,Dee,Jon Dee,Founder and Managing Director,DoSomething,Sydney,Australia,"Sydney, Australia",https://www.linkedin.com/in/jondee/,-33.86882,151.209296,Leader,Leader,Leader
108,del Hierro Calvachi,Ana Gabriela del Hierro Calvachi,Researcher,Instituto Nacional de Biodiversidad (INABIO),Quito ,Ecuador,"Quito , Ecuador",https://www.linkedin.com/in/adelhierrocalvachi/?originalSubdomain=ec,-0.180653,-78.467838,Leader,Leader,Leader
109,DeSimone,Joseph DeSimone,Exec. Chairman and Co-founder,Carbon3d,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/josephdesimone1/,37.77493,-122.419416,Leader,Leader,Leader
110,Dhanuka,Ankur Dhanuka,Deep Decarbonization Research Fellow with the Environment and Natural Resources Program,Harvard University,"Cambridge, MA",USA,"Cambridge, MA, USA",https://www.linkedin.com/in/ankur-dhanuka-744bbb28/,42.373616,-71.109734,Leader,Leader,Leader
111,Diaz,Illac Diaz,Founder,Liter of Light,Manila,Philippines,"Manila, Philippines",https://www.linkedin.com/in/ildiaz/?originalSubdomain=ph,14.599512,120.98422,Leader,Leader,Leader
112,Díaz Mirabal,Gregorio Díaz Mirabal,General Coordinator,Indigenous Organizations of the Amazon Basin (COICA),Caracas,Venezuela,"Caracas, Venezuela",https://www.facebook.com/josegregorio.diazmirabal,10.480594,-66.903606,Leader,Leader,Leader
113,DiBianca,Suzanne DiBianca,EVP Corporate Relations and Chief Impact Officer,Salesforce,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/suzannedibianca/,37.77493,-122.419416,Leader,Leader,Leader
114,Dillen,Abigail Dillen,President,Earthjustice,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/abbie-dillen/ ,37.77493,-122.419416,Leader,Leader,Leader
115,DiNola,Ralph DiNola,Chief Executive Officer,New Buildings Institute,"Portland, OR",USA,"Portland, OR, USA",https://www.linkedin.com/in/ralph-dinola-2092ab1/ ,45.515232,-122.678385,Leader,Leader,Leader
116,Dixson-Declѐve,Sandrine Dixson-Declѐve,Senior Advisor,Interel,Brussels,Belgium,"Brussels, Belgium",https://www.linkedin.com/in/sandrine-dixson-decl%C3%A8ve-9074aa2/?originalSubdomain=be,50.847642,4.35717,Leader,Leader,Leader
117,Dorsey,M.K. Dorsey,Limited Partner,Ibersun,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/profmkd/,38.907192,-77.036871,Leader,Leader,Leader
118,Dorsey,Cheryl Dorsey,President,Echoing Green,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/cheryl-dorsey/,38.907192,-77.036871,Leader,Leader,Leader
119,Duan,Bin Duan,Director,Beijing Carbon-Change Environment Research Center,Beijing,China,"Beijing, China",https://www.linkedin.com/in/bin-duan-036115a2/,39.904211,116.407395,Leader,Leader,Leader
120,Duarte,Mafalda Duarte,Chief Executive Officer,Climate Investment Funds,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/mafaldaduarte1/ ,38.907192,-77.036871,Leader,Leader,Leader
121,Dumain,Jill Dumain,Global Vice President of Sustainability Solutions; Former Chief Executive Officer,SGS; BlueSign Technologies,"Santa Barbara, CA",USA,"Santa Barbara, CA, USA",https://www.linkedin.com/in/jilldumain/?originalSubdomain=ch,34.42083,-119.69819,Leader,Leader,Leader
122,Edahiro,Junko Edahiro,President,"Institute for Studies in Happiness, Economy and Society (ISHES)",Tokyo,Japan,"Tokyo, Japan",https://www.linkedin.com/in/junko-edahiro-98a57b162/?originalSubdomain=jp,35.676192,139.650311,Leader,Leader,Leader
123,Edozien,Ndidi Nnoli Edozien,Chair,Circular Economy Innovation Partnership (CEIP),Lagos,Nigeria,"Lagos, Nigeria",https://www.linkedin.com/in/dr-ndidi-nnoli-edozien-798649141/?originalSubdomain=ng,6.524379,3.379206,Leader,Leader,Leader
124,Ehnes,Jack Ehnes,Chief Executive Officer,CalSTRS ,"West Sacramento, CA",USA,"West Sacramento, CA, USA",https://www.linkedin.com/in/jack-ehnes/,38.580461,-121.530234,Leader,Leader,Leader
125,Ehrlich,Paul Ehrlich,"President, Center for Conservation Biology, Bing Professor of Population Studies",Stanford University,"Palo Alto, CA",USA,"Palo Alto, CA, USA",https://ccb.stanford.edu/paul-r-ehrlich,37.441883,-122.14302,Leader,Leader,Leader
126,El Aynaoui,Karim El Aynaoui,President,Policy Center for the New South,Rabat,Morocco,"Rabat, Morocco",https://www.linkedin.com/company/policycenterns/about/,33.97159,-6.849813,Leader,Leader,Leader
127,El Battouty,Sarah El Battouty,Chairman Founder,ECOnsult architecture,Cairo,Egypt,"Cairo, Egypt",https://www.linkedin.com/in/sarah-el-battouty-2b823081/?originalSubdomain=eg,30.04442,31.235712,Leader,Leader,Leader
128,Elliott,John Elliott,Chief Sustainability Officer,Lawrence Berkeley National Laboratory,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/john-elliott-7317a662/,37.871523,-122.273042,Leader,Leader,Leader
129,Ellsmoor,James Ellsmoor,Founder and Chief Executive Officer; Director,Island Innovation; Solar Head of State,Lisbon,Portugal,"Lisbon, Portugal",https://www.linkedin.com/in/jellsmoor/,38.722252,-9.139337,Leader,Leader,Leader
130,Emerson,Jed Emerson,"Managing Director, Global Lead Impact Investing",Tiedemann Advisors,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/jedemerson/,40.712775,-74.005973,Leader,Leader,Leader
131,Espinosa,Patricia Espinosa,Executive Secretary,United Nations Framework Convention on Climate Change (UNFCCC),Bonn,Germany,"Bonn, Germany",https://twitter.com/PEspinosaC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,50.73743,7.098207,Leader,Leader,Leader
132,Euston-Brown,Megan Euston-Brown,Director at Sustainable Energy Africa,Director at Sustainable Energy Africa,Cape Town,South Africa,"Cape Town, South Africa",https://www.sustainable.org.za/people.php,-33.924868,18.424055,Leader,Leader,Leader
133,Fay Zahniser,Meghan Fay Zahniser,Executive Director,The Association for the Advancement of Sustainability in Higher Education (AASHE),"Philadelphia, PA",USA,"Philadelphia, PA, USA",linkedin.com/in/meghan-fay-zahniser-5616087,39.952584,-75.165222,Leader,Leader,Leader
134,Fernández Bremauntz,Adrian Fernández Bremauntz,Chief Executive Officer,Iniciativa Climática de México,Mexico City,Mexico,"Mexico City, Mexico",https://www.linkedin.com/in/adrian-fern%C3%A1ndez-284a4930/?originalSubdomain=mx,19.432608,-99.133208,Leader,Leader,Leader
135,"Fernández Luiselli
",Edda Fernández Luiselli,Director General,Primary Sector and Renewable Natural Resources in the Undersecretary for Environmental Regulation and Promotion of the Ministry of Environment and Natural Resources (SEMARNAT),Mexico City,Mexico,"Mexico City, Mexico",https://twitter.com/eddafdz?lang=en,19.432608,-99.133208,Leader,Leader,Leader
136,Ferreyra Acosta,Vicente Ferreyra Acosta,Chief Executive Officer ,Sustentur,Quintana Roo,Mexico,"Quintana Roo, Mexico",https://www.linkedin.com/in/vicenteferreyra/,19.181739,-88.479138,Leader,Leader,Leader
137,Figueres,Christiana Figueres,Founding Partner,Global Optimism,San Jose,Costa Rica,"San Jose, Costa Rica",https://www.linkedin.com/in/christianafigueres/ ,37.338208,-121.886329,Leader,Leader,Leader
138,Findlay,Martha Hall Findlay,Chief Sustainability Officer,Suncor,Calgary,Canada,"Calgary, Canada",https://www.linkedin.com/in/marthahallfindlay/?originalSubdomain=ca,51.044733,-114.071883,Leader,Leader,Leader
139,Flynn,Cassie Flynn,Strategic Advisor on Climate Change,United Nations Development Programme (UNDP),"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/cassieflynn/ ,40.712775,-74.005973,Leader,Leader,Leader
140,Foley,Jonathan Foley,Executive Director,Project Drawdown,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/jonathan-foley-182808b9/,37.77493,-122.419416,Leader,Leader,Leader
141,Forrest,Andrew Forrest,Founder,GH2,Perth,Australia,"Perth, Australia",https://www.linkedin.com/in/andrew-forrest-57672b1a/?originalSubdomain=au,-31.952312,115.861309,Leader,Leader,Leader
142,Fouad,Yasmine Fouad,Minister of Environment,Arabic Republic of Egypt,Cairo,Egypt,"Cairo, Egypt",https://www.eeaa.gov.eg/en-us/aboutus/aboutministry/minister.aspx,30.04442,31.235712,Leader,Leader,Leader
143,Fraser,Mike Fraser,VP of Global Sustainability Services,Schneider Electric,"Louisville, KY",USA,"Louisville, KY, USA",https://www.linkedin.com/in/mnfraser/,38.252665,-85.758456,Leader,Leader,Leader
144,Freijo,Juan Jose Freijo,"Vice President, Global Head of Sustainability and EMEA Government Affairs",Brambles,Madrid,Spain,"Madrid, Spain",https://www.linkedin.com/in/j-j-freijo-42935410/,40.416775,-3.70379,Leader,Leader,Leader
145,Fresco,Louise Fresco,President of the Executive Board,Wageningen University & Research,Wageningen,Netherlands,"Wageningen, Netherlands",https://twitter.com/louiseofresco?lang=en,51.981224,5.658416,Leader,Leader,Leader
146,Friedmann,Julio Friedmann,"Senior Research Scholar, Lead of CaMRI Initiative",Columbia University,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/julio-friedmann-86a83a44/,40.712775,-74.005973,Leader,Leader,Leader
147,Friend,Gil Friend,Chief Executive Officer,Natural Logic,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/gfriend/,37.871523,-122.273042,Leader,Leader,Leader
148,Furtado,Marcelo Furtado,Chief Sustainability Officer,ZScore,São Paulo,Brazil,"São Paulo, Brazil",https://www.linkedin.com/in/marcelo-furtado-49912861/en/?originalSubdomain=br,-23.555771,-46.639557,Leader,Leader,Leader
149,Garcetti,Eric Garcetti,"Mayor of LA, Chairperson",C40 Cities,"Los Angeles, CA",USA,"Los Angeles, CA, USA",https://www.linkedin.com/in/ericgarcetti/ ,34.052234,-118.243685,Leader,Leader,Leader
150,Gates,Bill Gates,Co-chair,Bill and Melinda Gates Foundation,"Seattle, WA",USA,"Seattle, WA, USA",https://www.linkedin.com/in/williamhgates/,47.60621,-122.332071,Leader,Leader,Leader
151,Gauri,Pratik Gauri,Partner and India President,5th Element Group PBC,Delhi,India,"Delhi, India",https://www.linkedin.com/in/pratikgauri/,28.704059,77.10249,Leader,Leader,Leader
152,Gelobter,Michel Gelobter,Managing Director,Reflective Earth,"Berkeley, CA",USA,"Berkeley, CA, USA",https://www.linkedin.com/in/gelobter/,37.871523,-122.273042,Leader,Leader,Leader
153,Gerrard,Michael Gerrard,Professor,Columbia University Law School,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/michael-gerrard-534262131/,40.712775,-74.005973,Leader,Leader,Leader
