idx,First_Middle_Name,Last_Name,company,Title,notes,tax1,city,Country,Continent,website,"lat, lng",lat,lng,tax2,tax3
52,Juliet,Davenport,Juliet Davenport,Founder and CEO,Good Energy,For-Profit,Swindon,England,Europe,https://www.linkedin.com/in/juliet-davenport-643564/,"51.55577390000001, -1.7797176",51.555774,-1.779718,Unknown,Unknown
53,Eric,Garcetti,Eric Garcetti,"Mayor of LA, Chairperson",C40 Cities,Non-Profit,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/ericgarcetti/ ,"34.0522342, -118.2436849",34.052234,-118.243685,Unknown,Unknown
54,Jonas,De Schaepmeester,Jonas De Schaepmeester,Program Manager Decarbonization,Umicore,For-Profit,Ghent,Belgium,Europe,https://www.linkedin.com/in/jonas-de-schaepmeester-9b531377/?originalSubdomain=be,"51.0543422, 3.7174243",51.054342,3.717424,Unknown,Unknown
55,Kate,Gordon,Kate Gordon,Director,California Governor's Office of Planning and Research,Non-Profit,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/kategordonconsulting/,"37.8715226, -122.273042",37.871523,-122.273042,Unknown,Unknown
56,Anne,Simpson,Anne Simpson,Managing Investment Director for Board Governance and Sustainability,CalPERS,Non-Profit,"Sacramento, CA",USA,North America,https://www.linkedin.com/in/anne-simpson-a3024328/,"38.5815719, -121.4943996",38.581572,-121.4944,Unknown,Unknown
57,Jack,Ehnes,Jack Ehnes,Chief Executive Officer,CalSTRS ,For-Profit,"West Sacramento, CA",USA,North America,https://www.linkedin.com/in/jack-ehnes/,"38.5804609, -121.530234",38.580461,-121.530234,Unknown,Unknown
58,Cardinal Peter,Turkson,Cardinal Peter Turkson,Author,Laudato Si,Non-Profit,Unknown,,,https://press.vatican.va/content/salastampa/en/documentation/cardinali_biografie/cardinali_bio_turkson_pka.html,"36.13981, -96.108891",37.09024,-95.712891,Unknown,Unknown
59,Farid,Baddache,Farid Baddache,CEO and Co-Founder,Ksapa,For-Profit,Paris,France,Europe,https://www.linkedin.com/in/farid-baddache/,"48.856614, 2.3522219",48.856614,2.352222,Unknown,Unknown
60,Jonas C.,Peters,Jonas C. Peters,"Director of Resnick Sustainability Institute, Bren Professor of Chemistry",Caltech,Non-Profit,"Pasadena, CA",USA,North America,https://www.cce.caltech.edu/people/jonas-c-peters,"34.1477849, -118.1445155",34.147785,-118.144516,Unknown,Unknown
61,Emily,Chew,Emily Chew,Executive Vice President and Chief Responsible Investment Officer,Calvert Research and Management,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/chewemily/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
