idx,First_Middle_Name,Last_Name,company,Title,notes,tax1,city,Country,Continent,website,"lat, lng",lat,lng,tax2,tax3
130,Jane,Lubchenco,Jane Lubchenco,Professor,Environmental (Marine) Sciences at Oregon State University,Non-Profit,"Corvallis, OR",USA,North America,https://www.linkedin.com/in/jane-lubchenco-7794a2207/,"44.5645659, -123.2620435",44.564566,-123.262044,Unknown,Unknown
131,Ellen,Bell,Ellen Bell,Manager of Energy Transitions,Environmental Defense Fund,Non-Profit,"Chicago, IL",USA,North America,https://www.linkedin.com/in/ellenkbell/,"41.8781136, -87.6297982",41.878114,-87.629798,Unknown,Unknown
132,Fred,Krupp,Fred Krupp,President,Environmental Defense Fund,Non-Profit,"New York, NY",USA,North America,"https://www.edf.org/people/fred-krupp
https://www.linkedin.com/in/fred-krupp-66310510a/","40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
133,Michael,Shellenberger,Michael Shellenberger,President; Former President,Environmental Progress; The Breakthrough Institute,Non-Profit,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/michael-shellenberger-019631a8/ ,"37.8715226, -122.273042",37.871523,-122.273042,Unknown,Unknown
134,Greg,Rogers,Greg Rogers,Founder; Senior Advisor,Era-Tos-Thenes; Carbon Tracker,For-Profit; Non-Profit,"Boulder, CO",USA,North America,https://www.linkedin.com/in/era-tos-thenes/ ,"40.0149856, -105.2705456",40.014986,-105.270546,Unknown,Unknown
135,Cathy,Zoi,Cathy Zoi,CEO,EVgo,For-Profit,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/cathy-zoi-60016a60/,"34.0522342, -118.2436849",34.052234,-118.243685,Unknown,Unknown
136,Edward,Palmieri,Edward Palmieri,Director of Global Sustainability,Facebook,For-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/ejpalmieri/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
137,Chrissa,Pagitsas,Chrissa Pagitsas,Former VP and Head of ESG,Fannie Mae,For-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/chrissa-pagitsas/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
138,Mitch,Jackson,Mitch Jackson,Chief Sustainability Officer,FedEx Corporation,For-Profit,"Memphis, TN",USA,North America,https://www.linkedin.com/in/mitch-jackson-1a349814/,"35.1495343, -90.0489801",35.149534,-90.04898,Unknown,Unknown
139,Kamillah,Knight,Kamillah Knight,Director of Diversity and Inclusion,Ferrero,For-Profit,"Parsippany, NJ",USA,North America,https://www.linkedin.com/in/kamillahknight/,"40.8652865, -74.41738769999999",40.865286,-74.417388,Unknown,Unknown
140,Alexandra,Palt,Alexandra Palt,Executive Vice President and Chief Sustainability Officer,L'Oreal,For-Profit,Paris,France,Europe,https://www.linkedin.com/in/alexandra-palt-953133a/,"48.856614, 2.3522219",48.856614,2.352222,Unknown,Unknown
141,Bruce,Klafter,Bruce Klafter,VP of Sustainability Strategy and Outreach,Flex,For-Profit,"San Mateo, CA",USA,North America,https://www.linkedin.com/in/bklafter/,"37.5629917, -122.3255254",37.562992,-122.325525,Unknown,Unknown
142,Thomas,Becker,Thomas Becker,Vice President of Sustainability and Mobility,BMW Group,For-Profit,Munich,Germany,Europe,https://www.linkedin.com/in/thomas-becker-83805276/,"48.1351253, 11.5819805",48.135125,11.58198,Unknown,Unknown
143,Tim,Brooks,Tim Brooks,VP of Environmental Sustainability and Corporate Responsibility,Lego,For-Profit,Billund,Denmark,Europe,https://www.linkedin.com/in/tim-brooks-48a5b09/?originalSubdomain=dk  https://www.fastcompany.com/person/tim-brooks,"55.728449, 9.112366000000002",55.728449,9.112366,Unknown,Unknown
144,Wenonah,Hauter,Wenonah Hauter,Founder and Executive Director,Food and Water Watch,Non-Profit,"Washington, D.C.",USA,North America,https://www.foodandwaterwatch.org/staff ,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
145,Mary,Wroten,Mary Wroten,Director of Global Sustainability,Ford Motor Company,For-Profit,"Dexter, MI",USA,North America,https://www.linkedin.com/in/mary-a-wroten-34a3459/,"42.33836970000001, -83.8885552",42.33837,-83.888555,Unknown,Unknown
146,Corey,Brinkema,Corey Brinkema,Chief Executive Officer,Forest Stewardship Council,Non-Profit,"Minneapolis, MN",USA,North America,https://www.linkedin.com/in/corey-brinkema-b529338/ ,"44.977753, -93.2650108",44.977753,-93.265011,Unknown,Unknown
147,Virginie,Helias,Virginie Helias,Chief Sustainability Officer,Proctor and Gamble,For-Profit,Geneva,Switzerland,Europe,https://www.linkedin.com/in/virginiehelias/,"46.2043907, 6.1431577",46.204391,6.143158,Unknown,Unknown
148,Paul,Hawken,Paul Hawken,Author,Founder of One Generation,Non-Profit,"Sausalito, CA",USA,North America,https://www.linkedin.com/in/paul-hawken-0792b/,"37.8590937, -122.4852507",37.859094,-122.485251,Unknown,Unknown
149,Esther,Speck,Esther Speck,Vice President of Global Sustainability and Social Impact,LuluLemon,For-Profit,Vancouver,Canada,North America,https://www.linkedin.com/in/esther-speck-1896b62/,"49.2827291, -123.1207375",49.282729,-123.120738,Unknown,Unknown
150,Xiye,Bastida,Xiye Bastida,Lead Organizer,Fridays for Future,Non-Profit,"New York, NY",USA,North America,,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
151,Mary Jane,Melendez,Mary Jane Melendez,Chief Sustainability and Social Impact Officer; President,General Mills; General Mills Foundation,For-Profit; Non-Profit,"Minneapolis, MN",USA,North America,https://www.linkedin.com/in/mary-jane-melendez-4a45915/,"44.977753, -93.2650108",44.977753,-93.265011,Unknown,Unknown
152,Sharon,Basel,Sharon Basel,Senior Manager of Sustainability,General Motors,For-Profit,"Detroit, MI",USA,North America,https://www.linkedin.com/in/sharonbasel/,"42.331427, -83.0457538",42.331427,-83.045754,Unknown,Unknown
153,Rob,Threlkeld,Rob Threlkeld,"Global Manager of Sustainability, Supply, and Reliability",General Motors,For-Profit,"Detroit, MI",USA,North America,https://www.linkedin.com/in/rob-threlkeld-b03b72100/,"42.331427, -83.0457538",42.331427,-83.045754,Unknown,Unknown
154,Dane,Parker,Dane Parker,Chief Sustainability Officer,General Motors,For-Profit,"Detroit, MI",USA,North America,https://www.linkedin.com/in/daneparkergm/,"42.331427, -83.0457538",42.331427,-83.045754,Unknown,Unknown
155,Al,Gore,Al Gore,Chairman,Generation Investment Management,For-Profit,"Nashville, TN",USA,North America,https://www.algore.com/,"36.1626638, -86.7816016",36.162664,-86.781602,Unknown,Unknown
156,Sasha,Calder,Sasha Calder,Head of Sustainability,Genomatica,For-Profit,"San Diego, CA",USA,North America,https://www.linkedin.com/in/sashacalder/,"32.715738, -117.1610838",32.715738,-117.161084,Unknown,Unknown
157,Kenneth,Wu,Kenneth Wu,"Executive Director, EH&S",Gilead Sciences,For-Profit,"San Mateo, CA",USA,North America,https://www.linkedin.com/in/kenneth-wu-732bbab/,"37.5629917, -122.3255254",37.562992,-122.325525,Unknown,Unknown
158,Michelle,Wyman,Michelle Wyman,Executive Director,Global Council for Science and the Environment,Non-Profit,"Washington, D.C.",USA,North America,linkedin.com/in/miwyman,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
159,Richard,Morningstar,Richard Morningstar,"Founding Chairman, Board Director","Global Energy Center, Atlantic Council",Non-Profit,"Washington, D.C.",USA,North America,https://www.albrightstonebridge.com/team/richard-morningstar,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
160,Adele,Simmons,Adele Simmons,President at Global Philanthropy Partnership,Global Philanthropy Partnership (on board of Ceres),Non-Profit,"Chicago, IL",USA,North America,https://www.linkedin.com/in/adele-simmons-a29206157/,"41.8781136, -87.6297982",41.878114,-87.629798,Unknown,Unknown
161,Graciela,Chichilnisky,Graciela Chichilnisky,CEO and Co-founder,Global Thermostat,For-Profit,"New York, NY",USA,North America,https://globalthermostat.com/graciela-chichilnisky/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
162,Kate,Brandt,Kate Brandt,Chief Sustainability Officer,Google,For-Profit,"Mountain View, CA",USA,North America,https://www.linkedin.com/in/katebrandt/,"37.3860517, -122.0838511",37.386052,-122.083851,Unknown,Unknown
163,Michael,Terrell,Michael Terrell,Head of Energy Market Strategy,Google,For-Profit,"Mountain View, CA",USA,North America,https://www.linkedin.com/in/michael-terrell/,"37.3860517, -122.0838511",37.386052,-122.083851,Unknown,Unknown
164,Pia Heidenmark,Cook,Pia Heidenmark Cook,Chief Sustainability Officer,IKEA,For-Profit,Unknown,Sweden,Europe,https://www.linkedin.com/in/pia-heidenmark-cook-bb088042/,"36.13981, -96.108891",37.09024,-95.712891,Unknown,Unknown
165,Alisa,Gravitz,Alisa Gravitz,Chief Executive Officer,Green America,Non-Profit,"Washington, D.C.",USA,North America,https://greenamerica.org/people/alisa-gravitz,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
166,Joel,Makower,Joel Makower,Chairman & Executive Editor,GreenBiz Group,For-Profit,"Oakland, CA",USA,North America,https://www.linkedin.com/in/makower/,"37.8043514, -122.2711639",37.804351,-122.271164,Unknown,Unknown
167,Shana,Rappaport,Shana Rappaport,Executive Director,GreenBiz series,For-Profit,"San Francisco, CA",USA,North America,linkedin.com/in/shana-rappaport-82787313,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
168,Annie,Leonard,Annie Leonard,Executive Director,Greenpeace USA,Non-Profit,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/annie-leonard-65a00333/,"37.8715226, -122.273042",37.871523,-122.273042,Unknown,Unknown
169,Bren,Smith,Bren Smith,Co-Executive Director and Co-Founder,GreenWave,Non-Profit,"Long island Sound, CT",USA,North America,,"41.0748454, -72.94605659999999",41.074845,-72.946057,Unknown,Unknown
170,Erica,Mackie,Erica Mackie,Co-Founder and CEO,GRID Alternatives,Non-Profit,"Oakland, CA",USA,North America,https://www.linkedin.com/in/erica-mackie-9487539/ ,"37.8043514, -122.2711639",37.804351,-122.271164,Unknown,Unknown
171,Abby,Bonita,Abby Bonita,Head of Sustainability Reporting and Compliance,MERALCO,For-Profit,Manila,Philippines,Asia,https://www.linkedin.com/in/abby-bonita-b7931365/,"14.5995124, 120.9842195",14.599512,120.98422,Unknown,Unknown
172,Ankur,Dhanuka,Ankur Dhanuka,Deep Decarbonization Research Fellow with the Environment and Natural Resources Program,Harvard,Non-Profit,"Cambridge, MA",USA,North America,https://www.linkedin.com/in/ankur-dhanuka-744bbb28/,"42.3736158, -71.10973349999999",42.373616,-71.109734,Unknown,Unknown
173,Owen,Keogh,Owen Keogh,Head of Corporate Social Responsibility,Lidl Ireland and Northern Ireland,For-Profit,London,England,Europe,https://www.linkedin.com/in/owen-keogh-91896560/?originalSubdomain=uk,"51.5073509, -0.1277583",51.507351,-0.127758,Unknown,Unknown
174,Heather,Henriksen,Heather Henriksen,Chief Sustainability Officer,Harvard University,Non-Profit,"Boston, MA",USA,North America,https://www.linkedin.com/in/heatherhenriksen/,"42.3600825, -71.0588801",42.360082,-71.05888,Unknown,Unknown
175,Daniel,Schrag,Daniel Schrag,Director of the Harvard University Center for the Environment.,Harvard University,Non-Profit,"Cambridge, MA",USA,North America,https://www.linkedin.com/in/daniel-schrag-6775b58/,"42.3736158, -71.10973349999999",42.373616,-71.109734,Unknown,Unknown
176,Inesh,Singh,Inesh Singh,Chief Sustainability Officer,Sula Vineyards,For-Profit,Haryana,India,Asia,https://www.linkedin.com/in/ineshsingh/,"29.0587757, 76.085601",29.058776,76.085601,Unknown,Unknown
177,Janice,Lao,Janice Lao,ESG Director,Helen of Troy,For-Profit,"El Paso, TX",USA,North America,https://www.linkedin.com/in/janiceillao/,"31.7618778, -106.4850217",31.761878,-106.485022,Unknown,Unknown
178,Ellen,Jackowski,Ellen Jackowski,Chief Sustainability and Social Impact Officer,HP,For-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/ellenjackowskihp/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
179,Enrique,Lores,Enrique Lores,Chief Executive Officer,HP Inc.,For-Profit,"Los Altos, CA",USA,North America,https://www.linkedin.com/in/enriquelores/,"37.3852183, -122.1141298",37.385218,-122.11413,Unknown,Unknown
180,Don,McIntyre,Don McIntyre,Managing Director and CEO,Impact Metrics,For-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/donmcintyre/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
181,Rebekah,Moses,Rebekah Moses,Director of Impact Strategy,Impossible Foods,For-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/rebekahmoses/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
182,Brian,Nash,Brian Nash,Director of Sustainability,Ingredion Incorporated,For-Profit,"Indianapolis, IN",USA,North America,https://www.linkedin.com/in/brian-nash-05a57842/,"39.768403, -86.158068",39.768403,-86.158068,Unknown,Unknown
183,Damilola,Ogunbiyi,Damilola Ogunbiyi,"CEO, Co-chair","Sustainable Energy for All, UN-Energy",Non-Profit,Vienna,Austria,Europe,https://www.linkedin.com/in/damilola-ogunbiyi/,"48.2081743, 16.3738189",48.208174,16.373819,Unknown,Unknown
184,Tony,Davis,Tony Davis,Chief Executive Officer and Chief Information Officer,Inherent Group,For-Profit,"New York, NY",USA,North America,https://www.inherentgroup.com/team/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
185,Ban,Ki-Moon,Ban Ki-Moon,8th Secretary General,United Nations,Non-Profit,Unknown,South Korea,Asia,https://www.linkedin.com/in/bankimoon/,"36.13981, -96.108891",37.09024,-95.712891,Unknown,Unknown
186,Yasmine,Fouad,Yasmine Fouad,Minister of Environment,Arabic Republic of Egypt,Non-Profit,Unknown,Egypt,Africa,,"36.13981, -96.108891",37.09024,-95.712891,Unknown,Unknown
187,Li,Yong,Li Yong,Director General of the Industrial Development Organization,United Nations,Non-Profit,Vienna,Austria,Europe,,"48.2081743, 16.3738189",48.208174,16.373819,Unknown,Unknown
188,Isabella,Lovin,Isabella Lovin,"Minister for Climate and Environment, Deputy Prime Minister",Government of Sweden,Non-Profit,Unknown,Sweden,Europe,,"36.13981, -96.108891",37.09024,-95.712891,Unknown,Unknown
189,Andreas,Feicht,Andreas Feicht,State Secretary,German Federal Ministry for Economic Affairs and Energy,Non-Profit,Berlin,Germany,Europe,,"52.52000659999999, 13.404954",52.520007,13.404954,Unknown,Unknown
190,Erin,Meezan,Erin Meezan,VP and Chief Sustainability Officer,Interface,For-Profit,"Atlanta, GA",USA,North America,https://www.linkedin.com/in/erinmeezan/,"33.7489954, -84.3879824",33.748995,-84.387982,Unknown,Unknown
191,Fatih,Birol,Fatih Birol,Executive Director,International Energy Agency,Non-Profit,Paris,France,Europe,https://www.linkedin.com/in/fatih-birol-66862a195/,"48.856614, 2.3522219",48.856614,2.352222,Unknown,Unknown
192,Musonda,Mumba,Musonda Mumba,Chief of Terrestrial Ecosystems Unit,United Nations Environment Programme,Non-Profit,Nairobi,Kenya,Africa,https://www.linkedin.com/in/dr-musonda-mumba-aa09611/ ,"-1.2920659, 36.8219462",-1.292066,36.821946,Unknown,Unknown
193,Rodolfo,Lacy,Rodolfo Lacy,Environmental Directorate,OECD,Non-Profit,Paris,France,Europe,https://www.linkedin.com/in/rodolfo-lacy-306b8bb2/,"48.856614, 2.3522219",48.856614,2.352222,Unknown,Unknown
194,Rana,Ghoneim,Rana Ghoneim,Chief of Energy Systems and Infrastructure Division,UNIDO,Non-Profit,Vienna,Austria,Europe,https://www.linkedin.com/in/rana-ghoneim-1a5b4840/ ,"48.2081743, 16.3738189",48.208174,16.373819,Unknown,Unknown
195,Zitouni,Ould-Dada,Zitouni Ould-Dada,"Deputy Director of Climate Change, Biodiversity, and Environment",Food and Agriculture Organization of the United States,Non-Profit,Paris,France,Europe,https://www.linkedin.com/in/zitouni-ould-dada-71170543/,"48.856614, 2.3522219",48.856614,2.352222,Unknown,Unknown
196,Tim,Groser,Tim Groser,Former Minister of Climate Change Issues,Government of New Zealand,Non-Profit,Wellington,New Zealand,Australia/Oceania,https://www.linkedin.com/in/tim-groser-a35b9831/,"-41.2923814, 174.7787463",-41.292381,174.778746,Unknown,Unknown
197,Inger,Anderson,Inger Anderson,Executive Director,United Nations Environment Programme,Non-Profit,Nairobi,Kenya,Africa,https://www.unep.org/people/inger-andersen,"-1.2920659, 36.8219462",-1.292066,36.821946,Unknown,Unknown
198,Preeti,Soni,Preeti Soni,"Chief of Climate Change, Resilience, and Energy",United Nations Development Programme (UNDP),Non-Profit,Delhi,India,Asia,https://www.linkedin.com/in/preeti-soni-917b667/,"28.7040592, 77.10249019999999",28.704059,77.10249,Unknown,Unknown
199,Youba,Sokona,Youba Sokona,Vice Chair,Intergovernmental Panel on Climate Change (IPCC),Non-Profit,Geneva,Switzerland,Europe,https://www.linkedin.com/in/youba-sokona-01b1b721/,"46.2043907, 6.1431577",46.204391,6.143158,Unknown,Unknown
200,Nestor Batio,Bassiere,Nestor Batio Bassiere,"Minister of Environment, Climate Change, and Green Economy",Burkina Faso (country in West Africa),Non-Profit,Unknown,Burkina Faso,Africa,,"37.09024, -95.712891",37.09024,-95.712891,Unknown,Unknown
201,Sophie,Beckham,Sophie Beckham,Chief Sustainability Officer,International Paper,For-Profit,"Ashville, NC",USA,North America,https://www.linkedin.com/in/sophie-beckham-18209957/,"35.5950581, -82.5514869",35.595058,-82.551487,Unknown,Unknown
202,Golo J.,Pilz,Golo J. Pilz,Director,India One,Non-Profit,Mount Abu,India,Asia,http://www.cop-23.org/speakers/golo-j.-pilz ,"24.5925909, 72.7156274",24.592591,72.715627,Unknown,Unknown
203,Monica,Scatasta,Monica Scatasta,"Director, Former Head of Division, Climate, Environment, and Social Policy","Council of Europe Development Bank, European Investment Bank",Non-Profit,Unknown,Luxembourg,Europe,https://www.linkedin.com/in/monica-scatasta-b66089a/,"37.09024, -95.712891",37.09024,-95.712891,Unknown,Unknown
204,Sean,Sweeney,Sean Sweeney,Director; Coordinator,"International Program on Labor, Climate & Environment at the School of Labor and Urban Studies - City University of New York; Trade Unions for Energy Democracy",Non-Profit,"Brooklyn, NY",USA,North America,https://www.linkedin.com/in/sean-sweeney-6484a738/ ,"40.6781784, -73.9441579",40.678178,-73.944158,Unknown,Unknown
205,Adnan,Amin,Adnan Amin,Former Director General,International Renewable Energy Agency (IRENA),Non-Profit,"Cambridge, MA",USA,North America,https://www.linkedin.com/in/adnan-amin/,"42.3736158, -71.10973349999999",42.373616,-71.109734,Unknown,Unknown
206,Sean,Kinghorn,Sean Kinghorn,Global Sustainability Leader,Intuit,For-Profit,"San Diego, CA",USA,North America,https://www.linkedin.com/in/sean-kinghorn-3658305/,"32.715738, -117.1610838",32.715738,-117.161084,Unknown,Unknown
207,Alan,AtKisson,Alan AtKisson,"Assistant Director-General and Director, Department of Partnership and Innovation",Sida,Non-Profit,Stockholm,Sweden,Europe,https://www.linkedin.com/in/alanatkisson/,"59.32932349999999, 18.0685808",59.329324,18.068581,Unknown,Unknown
208,Suzanne,Woolsey,Suzanne Woolsey,Director,Invesco Funds,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/suzanne-woolsey-a332b0b8/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
209,Steve,Demetriou,Steve Demetriou,Chair and CEO,Jacobs,For-Profit,"Dallas, TX",USA,North America,https://www.linkedin.com/in/stevedemetrioujacobs/,"32.7766642, -96.79698789999999",32.776664,-96.796988,Unknown,Unknown
210,Kadri,Simson,Kadri Simson,Commissioner for Energy,European Union,Non-Profit,Estonia,Estonia,Europe,https://twitter.com/KadriSimson?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"58.595272, 25.0136071",58.595272,25.013607,Unknown,Unknown
211,Joe,Rozza,Joe Rozza,Director of Sustainability and Resilience,Jacobs,For-Profit,"Atlanta, GA",USA,North America,https://www.linkedin.com/in/joe-rozza-a8143b12/,"33.7489954, -84.3879824",33.748995,-84.387982,Unknown,Unknown
212,John,Kliem,John Kliem,Director of Federal Energy Strategy; Former Executive Director of Resilient Energy Program Office,Johnson Controls; US Navy,For-Profit; Non-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/johnkliem/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
213,María,Mendiluce,María Mendiluce,CEO,We Mean Business Coalition,Non-Profit,Geneva,Switzerland,Europe,https://www.linkedin.com/in/mariamendiluce/,"46.2043907, 6.1431577",46.204391,6.143158,Unknown,Unknown
214,Marisa,Buchanan,Marisa Buchanan,"Managing Director, Head of Sustainability",JP Morgan Chase & Co.,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/marisa-buchanan-2b10206/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
215,Monique,Oxender,Monique Oxender,Chief Sustainability Officer,Keurig Dr. Pepper,For-Profit,"Burlington, MA",USA,North America,https://www.linkedin.com/in/moniqueoxender/,"42.5047161, -71.1956205",42.504716,-71.19562,Unknown,Unknown
216,Jasmine,Lomax,Jasmine Lomax,Manager of Sustainability and Corporate Responsibility,Kilroy Realty Company,For-Profit,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/jasminealomax/,"34.0522342, -118.2436849",34.052234,-118.243685,Unknown,Unknown
217,Sarah,Neff,Sarah Neff,Senior Vice President of Sustainability,Kilroy Realty Corporation,For-Profit,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/sara-neff-4490b214/,"34.0522342, -118.2436849",34.052234,-118.243685,Unknown,Unknown
218,Daphany Rose,Sanchez,Daphany Rose Sanchez,Executive Director,Kinetic Communities Consulting,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/daphanysanchez/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
219,Karen,Wayland,Karen Wayland,CEO,kW Energy Strategies,For-Profit,"Washington, D.C.",USA,North America,https://www.linkedin.com/in/karen-wayland-87228310/,"38.9071923, -77.0368707",38.907192,-77.036871,Unknown,Unknown
220,Jennifer,Holmgren,Jennifer Holmgren,CEO,LanzaTech,For-Profit,"Skokie, IL",USA,North America,https://www.linkedin.com/in/jennifer-holmgren-95b6201/,"42.0324025, -87.7416246",42.032402,-87.741625,Unknown,Unknown
221,Lester,Brown,Lester Brown,Founder and President,Earth Policy Institute,Non-Profit,Unknown,,,http://www.earth-policy.org/about_epi/C32,"37.09024, -95.712891",37.09024,-95.712891,Unknown,Unknown
222,Peter,Bakker,Peter Bakker,President,World Business Council for Sustainable Development,Non-Profit,Geneva,Switzerland,Europe,https://www.linkedin.com/in/peter-bakker-14a13638/,"46.2043907, 6.1431577",46.204391,6.143158,Unknown,Unknown
223,Riva,Krut,Riva Krut,Former Vice President and Chief Sustainability Officer (retired); Board member and Chair of Sustainability & Innovation Committee,Linde; The Metals Company,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/riva-krut-37377722/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
224,Peggy,Brannigan,Peggy Brannigan,"Senior Program Manager, Global Environmental Sustainability",LinkedIn,For-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/peggybrannigan/,#ERROR!,37.77493,-122.419416,Unknown,Unknown
225,Bill,Maclay,Bill Maclay,Founder and Principal,Maclay Architects,For-Profit,"Waitsfield, VT",USA,North America,https://www.linkedin.com/in/bill-maclay-a89b352/,,44.192639,-72.779848,Unknown,Unknown
226,Kevin,Rabinovitch,Kevin Rabinovitch,"Global VP, Sustainability and Chief Climate Officer","Mars, Inc.",For-Profit,"Mclean, VA",USA,North America,https://www.linkedin.com/in/kevin-rabinovitch-4280735/,,38.933868,-77.17726,Unknown,Unknown
227,Jane,McDonald,Jane McDonald,Executive Vice President,International Institute for Sustainable Development,Non-Profit,Winnipeg,Canada,North America,https://www.linkedin.com/in/jane-mcdonald-75695a66/,,49.895136,-97.138374,Unknown,Unknown
228,Kristina,Kloberdanz,Kristina Kloberdanz,Chief Sustainability Officer,Mastercard,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/kristina-kloberdanz-1446491/,,40.712775,-74.005973,Unknown,Unknown
229,Michael,Okoroafor,Michael Okoroafor,VP of Global Sustainability and Packaging Innovation,McCormick & Company,For-Profit,"Hunt Valley, MD",USA,North America,https://www.linkedin.com/in/michael-okoroafor-ph-d-5a07b9a9/,,39.490001,-76.658507,Unknown,Unknown
230,Emma,Cox,Emma Cox,Renewable Energy Lead,McDonald's Corporation,For-Profit,"Chicago, IL",USA,North America,https://www.linkedin.com/in/emmagillespiecox/,,41.878114,-87.629798,Unknown,Unknown
231,Hoesung,Lee,Hoesung Lee,Chair of IPCC,Intergovernmental Panel on Climate Change,Non-Profit,Seoul,South Korea,Asia,https://www.ipcc.ch/people/hoesung-lee/,,37.566535,126.977969,Unknown,Unknown
232,Christiana,Figueres,Christiana Figueres,Founding Partner,Global Optimism,Non-Profit,San Jose,Costa Rica,North America,https://www.linkedin.com/in/christianafigueres/ https://earthoptimism.si.edu/about/2020-summit/speakers/christiana-figueres/,,37.338208,-121.886329,Unknown,Unknown
233,Elaine,Strunk,Elaine Strunk,Director of Global Sustainability,McDonalds,For-Profit,"Chicago, IL",USA,North America,https://www.linkedin.com/in/elainestrunk/,,41.878114,-87.629798,Unknown,Unknown
234,Bill,McDonough,Bill McDonough,-Holds a variety of roles-,"McDonough Innovation, William McDonough + Partners",For-Profit,"Charlottesville, VA",USA,North America,https://www.linkedin.com/in/william-mcdonough/,,38.029306,-78.476678,Unknown,Unknown
235,Masie,O'Flanagan,Masie O'Flanagan,Partner,McKinsey and Company,For-Profit,"Atherton, CA",USA,North America,https://www.linkedin.com/in/maisie-o-flanagan-51b872b/,,37.461327,-122.197743,Unknown,Unknown
236,Jon,Richter,Jon Richter,Chief Sustainability Director,MetLife,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/jon-richter-75ab6a3/,,40.712775,-74.005973,Unknown,Unknown
237,Andrew,Morlet,Andrew Morlet,CEO,Ellen MacArthur Foundation,Non-Profit,London,United Kingdom,Europe,https://www.linkedin.com/in/amorlet/,,51.507351,-0.127758,Unknown,Unknown
238,Lisa,Colicchio,Lisa Colicchio,Director of Sustainability,Metrolink,For-Profit,"Los Angeles, CA",USA,North America,https://www.linkedin.com/in/lisacolicchio/,,34.052234,-118.243685,Unknown,Unknown
239,Theresa Mundita,Lim,Theresa Mundita Lim,Executive Director,ASEAN Center for Biodiversity,Non-Profit,"Los Banos, Laguna",Philippines,Asia,https://asean.org/asean-centre-for-biodiversity-names-new-executive-director/,,14.169912,121.244063,Unknown,Unknown
240,Howard,Jones,Howard Jones,Group Head of Sustainability and Community,Bangarra Group,For-Profit,London,United Kingdom,Europe,https://www.linkedin.com/in/howard-jones-6a253b4/,,51.507351,-0.127758,Unknown,Unknown
241,Jyoti,Chopra,Jyoti Chopra,Chief Diversity and Sustainability Officer,MGM Resorts International,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/jyoti-chopra-inclusion/,,40.712775,-74.005973,Unknown,Unknown
242,Brian,Janous,Brian Janous,General Manager of Energy and Renewables,Microsoft,For-Profit,"Bellevue, WA",USA,North America,https://www.linkedin.com/in/brian-janous-73019515/,,47.61015,-122.201516,Unknown,Unknown
243,Holly,Beale,Holly Beale,"Program Manager, Datacenter Environmental Sustainability",Microsoft,For-Profit,"Seattle, WA",USA,North America,https://www.linkedin.com/in/hollybeale/,,47.60621,-122.332071,Unknown,Unknown
